query_id,query,true_category,inferred_category,selected_tier,input_tokens,output_tokens,cost_usd,quality_score,success,error
1,Why is my API returning 500 errors when I batch more than 100 requests?,technical,technical,economy,51,150,0.15816,0.0,True,
2,How do I implement OAuth2 refresh token rotation?,technical,technical,premium,40,1125,1.7654,0.8,True,
3,What's the difference between sandbox and production rate limits?,technical,product,premium,41,1231,1.9310200000000002,0.5,True,
4,My webhook signatures don't match — what am I doing wrong?,technical,technical,premium,43,1115,1.75058,0.5,True,
5,How do I paginate through 10K records efficiently?,technical,faq,standard,42,150,0.15383999999999998,0.85,True,
6,Why are my async jobs timing out after 30 seconds?,technical,product,economy,43,150,0.15688,0.0,True,
7,How do I implement idempotency keys correctly?,technical,faq,premium,41,1009,1.5846999999999998,0.65,True,
8,What's the schema for the v2 vs v3 API?,technical,technical,economy,43,150,0.15688,0.5,True,
9,My CORS preflight requests are failing — help!,technical,technical,standard,41,150,0.15356999999999998,0.7,True,
10,How do I handle partial failures in batch operations?,technical,product,premium,40,801,1.25996,0.5,True,
11,What encryption standard do you use for data at rest?,technical,technical,economy,41,150,0.15656,0.0,True,
12,How do I rotate API keys without downtime?,technical,technical,standard,39,150,0.15303,0.7,True,
13,My GraphQL mutations are returning null — why?,technical,technical,standard,40,150,0.1533,0.0,True,
14,How do I implement exponential backoff correctly?,technical,faq,standard,39,150,0.15303,0.7,True,
15,What's the max payload size for file uploads?,technical,faq,economy,40,3331,3.3374,0.7,True,
16,How do I validate webhook signatures in Python?,technical,technical,premium,39,872,1.37046,0.65,True,
17,Why is my SSE connection dropping after 5 minutes?,technical,product,standard,41,150,0.15356999999999998,0.0,True,
18,How do I implement cursor-based pagination?,technical,technical,standard,36,150,0.15222,0.7,True,
19,What's the rate limit for your ML inference endpoint?,technical,product,economy,41,150,0.15656,0.5,True,
20,How do I debug memory leaks in my integration?,technical,product,economy,40,986,0.9924,0.65,True,
21,Why was I charged twice this month?,billing,billing,standard,38,150,0.15275999999999998,0.7,True,
22,How do I update my credit card?,billing,faq,economy,38,1336,1.3420800000000002,0.65,True,
23,Can I get an invoice for my last payment?,billing,billing,premium,40,601,0.9479599999999999,0.5,True,
24,What's the difference between Pro and Enterprise plans?,billing,faq,standard,37,117,0.12114,0.7,True,
25,How do I cancel my subscription?,billing,faq,standard,37,107,0.11163999999999999,0.7,True,
26,Do you offer discounts for nonprofits?,billing,faq,economy,37,150,0.15592,0.0,True,
27,When does my billing cycle reset?,billing,billing,standard,37,150,0.15249,0.5,True,
28,Why did my usage spike last week?,billing,faq,standard,38,150,0.15275999999999998,0.7,True,
29,Can I set a spending cap?,billing,faq,standard,37,150,0.15249,0.7,True,
30,How do I add a team member to my account?,billing,account,economy,41,150,0.15656,0.0,True,
31,What payment methods do you accept?,billing,billing,economy,37,150,0.15592,0.5,True,
32,Do you charge for API failures?,billing,technical,standard,37,150,0.15249,0.7,True,
33,How do I view my usage history?,billing,faq,standard,38,150,0.15275999999999998,0.7,True,
34,Can I get a refund for accidental overage?,billing,faq,standard,40,150,0.1533,0.7,True,
35,What happens if I exceed my plan limits?,billing,faq,standard,37,150,0.15249,0.7,True,
36,Do you offer annual billing discounts?,billing,billing,standard,37,150,0.15249,0.7,True,
37,How do I download my receipts?,billing,faq,standard,35,144,0.14625,0.65,True,
38,Why is my trial ending early?,billing,faq,standard,37,257,0.25414000000000003,0.5,True,
39,Can I pause my subscription?,billing,faq,standard,36,150,0.15222,0.7,True,
40,How do I upgrade mid-cycle?,billing,faq,standard,37,150,0.15249,0.0,True,
41,How do I reset my password?,account,account,economy,37,150,0.15592,0.0,True,
42,I'm locked out of my account — help!,account,account,economy,40,150,0.15639999999999998,0.0,True,
43,How do I enable two-factor authentication?,account,faq,economy,38,150,0.15608,0.5,True,
44,Can I change my email address?,account,faq,premium,37,3789,5.92046,0.85,True,
45,How do I delete my account?,account,account,standard,37,150,0.15249,0.65,True,
46,How do I export my data?,account,faq,standard,37,150,0.15249,0.0,True,
47,My account shows wrong usage stats — fix it,account,account,economy,39,2826,2.83224,0.7,True,
48,How do I add SSO for my team?,account,faq,economy,40,2448,2.4544,0.65,True,
49,Can I merge two accounts?,account,account,premium,36,2389,3.7361999999999997,0.7,True,
50,How do I view my API key history?,account,technical,standard,37,150,0.15249,0.7,True,
51,How do I revoke an API key?,account,technical,standard,38,150,0.15275999999999998,0.85,True,
52,Can I share my dashboard with my team?,account,faq,premium,39,5077,7.93026,0.85,True,
53,How do I change my timezone settings?,account,faq,premium,38,908,1.4263600000000003,0.65,True,
54,My profile picture won't upload — why?,account,faq,economy,39,150,0.15624,0.5,True,
55,How do I set up audit logs?,account,faq,standard,38,150,0.15275999999999998,0.0,True,
56,Can I restrict API access by IP?,account,technical,standard,38,150,0.15275999999999998,0.65,True,
57,How do I grant read-only access to my team?,account,product,standard,41,150,0.15356999999999998,0.7,True,
58,How do I enable Slack notifications?,account,faq,standard,35,150,0.15195,0.65,True,
59,Can I customize my dashboard widgets?,account,faq,standard,37,143,0.14583999999999997,0.5,True,
60,How do I export my team's activity log?,account,faq,standard,39,123,0.12738,0.7,True,
61,What features are included in the free plan?,product,faq,premium,39,5487,8.56986,0.7,True,
62,Do you have a mobile app?,product,faq,standard,37,150,0.15249,0.0,True,
63,What integrations do you support?,product,faq,economy,37,9391,9.39692,0.7,True,
64,Is there a Slack integration?,product,faq,standard,36,123,0.12657,0.7,True,
65,Do you support webhooks?,product,technical,standard,36,150,0.15222,0.5,True,
66,What's your uptime SLA?,product,faq,standard,35,150,0.15195,0.7,True,
67,Do you have a status page?,product,faq,standard,37,150,0.15249,0.0,True,
68,Where are your servers located?,product,faq,standard,36,150,0.15222,0.7,True,
69,Are you SOC2 compliant?,product,faq,economy,36,1884,1.8897599999999999,0.7,True,
70,Do you offer on-premise deployment?,product,faq,premium,38,3277,5.122,0.7,True,
71,What languages is your SDK available in?,product,faq,standard,38,150,0.15275999999999998,0.0,True,
72,Do you have a GraphQL API?,product,technical,economy,37,918,0.9239200000000001,0.7,True,
73,Is there a sandbox environment?,product,faq,premium,36,1811,2.83452,0.7,True,
74,Do you support batch operations?,product,faq,premium,36,3136,4.9015200000000005,0.7,True,
75,Can I white-label your product?,product,faq,standard,37,150,0.15249,0.0,True,
76,Do you have a partner program?,product,faq,premium,37,3744,5.8502600000000005,0.7,True,
77,What's your data retention policy?,product,faq,premium,37,2022,3.1639399999999998,0.5,True,
78,Do you support custom domains?,product,faq,premium,36,2480,3.8781600000000003,0.7,True,
79,Is there a Chrome extension?,product,faq,premium,36,16337,25.49508,0.7,True,
80,Do you have public documentation?,product,faq,premium,36,8528,13.31304,0.7,True,
81,What's your pricing?,faq,faq,premium,35,2243,3.50818,0.7,True,
82,How do I contact support?,faq,faq,premium,36,12263,19.13964,0.7,True,
83,What are your hours?,faq,faq,premium,35,2862,4.473820000000001,0.5,True,
84,Do you have a phone number?,faq,faq,premium,37,589,0.92846,0.7,True,
85,Where's your documentation?,faq,faq,premium,35,3018,4.71718,0.7,True,
86,Do you offer trials?,faq,faq,premium,35,660,1.0387000000000002,0.7,True,
87,Can I try before I buy?,faq,faq,premium,37,2605,4.0734200000000005,0.7,True,
88,Do you have tutorials?,faq,faq,premium,35,1205,1.8889000000000002,0.85,True,
89,Is there a community forum?,faq,faq,premium,36,1894,2.964,0.7,True,
90,Do you have video demos?,faq,faq,premium,36,2013,3.1496399999999998,0.85,True,
91,Can I see a live demo?,faq,faq,premium,37,1513,2.3699,0.7,True,
92,Do you attend trade shows?,faq,faq,premium,36,1666,2.60832,0.7,True,
93,Where are you headquartered?,faq,faq,premium,35,3147,4.91842,0.7,True,
94,How big is your team?,faq,faq,premium,36,825,1.29636,0.7,True,
95,When were you founded?,faq,faq,premium,35,605,0.9529,0.7,True,
96,Who are your investors?,faq,faq,premium,35,8335,13.011700000000001,0.7,True,
97,Do you have a blog?,faq,faq,premium,36,4274,6.6768,0.7,True,
98,Do you have a newsletter?,faq,faq,premium,36,3161,4.94052,0.7,True,
99,Can I subscribe to updates?,faq,faq,premium,36,2104,3.2916000000000003,0.7,True,
100,Do you hire interns?,faq,faq,premium,35,2766,4.32406,0.7,True,
